method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
RF-iterative,MAR,0.2,45,60,0.03537927338886438,0.8320512820512822,0.8351648351648352,60,0
RF-iterative,MAR,0.2,46,60,0.01945624059182215,0.902106227106227,0.9065934065934067,60,0
RF-iterative,MAR,0.2,47,60,0.022586823047455087,0.865018315018315,0.8708791208791209,60,0
RF-iterative,MAR,0.2,48,60,0.022035446211166786,0.8953296703296705,0.8956043956043955,60,0
RF-iterative,MAR,0.2,49,60,0.02145113308775914,0.9153846153846155,0.9230769230769231,60,0
RF-iterative,MAR,0.3,42,60,0.03091148856427491,0.8423992673992674,0.8434065934065934,60,0
RF-iterative,MAR,0.3,43,60,0.023824995945771688,0.8973443223443223,0.9065934065934067,60,0
RF-iterative,MAR,0.3,44,60,0.027317949966166214,0.8809523809523809,0.8791208791208791,60,0
RF-iterative,MAR,0.3,45,60,0.03208487012002022,0.8586996336996336,0.8681318681318682,60,0
RF-iterative,MAR,0.3,46,60,0.03523902495404428,0.8003663003663003,0.8021978021978022,60,0
RF-iterative,MAR,0.3,47,60,0.04159845483834168,0.8317765567765568,0.8406593406593407,60,0
RF-iterative,MAR,0.3,48,60,0.030428022139443456,0.7844322344322343,0.7857142857142857,60,0
RF-iterative,MAR,0.3,49,60,0.0304472553684953,0.8593406593406594,0.8708791208791209,60,0
RF-iterative,MCAR,0.1,42,60,0.019316958745189756,0.9447802197802198,0.9505494505494506,60,0
